"colname3","season","SST","Chla","SSTA","SAM"
"MLEON","s09-10",5.43467580389093,NA,NA,-0.76605
"MLEON","s10-11",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"MLEON","s11-12",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"MLEON","s12-13",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"MLEON","s13-14",4.68661631052218,2.9211863176576,-0.291154973860179,-0.11358
"MLEON","s14-15",4.74770396826219,2.94931978963863,0.00380329314417408,0.53104
"MLEON","s15-16",4.93580759244087,3.19450549040427,0.350820361109047,0.59034
"MLEON","s16-17",5.15883154365885,3.03751488548986,0.674370251856484,-0.67864
"MLEON","s17-18",4.97397904634476,2.36842540045117,0.396643354198643,0.70064
"MLEON","s18-19",5.05436436335246,4.37883730102004,0.713227307671434,0.5256
"MLEON","s19-20",4.80972770470471,3.22479010317367,0.258974358960465,-0.8163
"MLEON","s20-21",5.17472065930591,3.44852324236523,0.887060681839923,1.18924
"MLEON","s21-22",5.26113663453322,3.83835562156594,1.29953380272939,1.0795
"MLEON","s22-23",5.44694708597542,4.89988823295329,1.31421985993019,1.32028
"MLEON","s23-24",4.8032995546707,3.2475756469161,0.276093037481911,0.8213
