season,estaca,nido_id,ambiente,huevo,pichon,fecha_puesta,fecha_walkout
s11-12,300,5,,2,2,23/10/2011,31/12/2011
s11-12,300,7,,2,2,23/10/2011,31/12/2011
s11-12,300,8,,2,0,23/10/2011,31/12/2011
s11-12,300,9,,2,0,23/10/2011,31/12/2011
s11-12,300,10,,1,0,23/10/2011,31/12/2011
s11-12,300,11,,2,2,23/10/2011,31/12/2011
s11-12,300,13,,2,0,23/10/2011,31/12/2011
s11-12,300,14,,2,0,23/10/2011,31/12/2011
s11-12,400,1,,2,2,29/10/2011,31/12/2011
s11-12,400,2,,2,1,29/10/2011,31/12/2011
s11-12,400,3,,2,1,29/10/2011,31/12/2011
s11-12,400,4,,2,1,29/10/2011,31/12/2011
s11-12,400,5,,2,1,29/10/2011,31/12/2011
s11-12,400,6,,2,2,29/10/2011,31/12/2011
s11-12,400,7,,2,2,29/10/2011,31/12/2011
s11-12,400,8,,2,1,29/10/2011,31/12/2011
s11-12,400,9,,2,2,29/10/2011,31/12/2011
s11-12,400,10,,2,2,29/10/2011,31/12/2011
s11-12,400,11,,2,1,29/10/2011,31/12/2011
s11-12,400,12,,2,2,29/10/2011,31/12/2011
s11-12,400,13,,2,0,29/10/2011,31/12/2011
s11-12,400,14,,2,1,29/10/2011,31/12/2011
s11-12,400,15,,2,2,29/10/2011,31/12/2011
s11-12,400,16,,2,1,29/10/2011,31/12/2011
s11-12,400,17,,2,2,29/10/2011,31/12/2011
s11-12,400,19,,2,1,29/10/2011,31/12/2011
s11-12,500,1,,2,2,23/10/2011,26/12/2011
s11-12,500,2,,2,2,23/10/2011,26/12/2011
s11-12,500,3,,2,2,23/10/2011,26/12/2011
s11-12,500,4,,2,0,23/10/2011,26/12/2011
s11-12,500,5,,2,2,23/10/2011,26/12/2011
s11-12,500,6,,2,2,23/10/2011,26/12/2011
s11-12,500,7,,2,2,23/10/2011,26/12/2011
s11-12,500,8,,2,2,23/10/2011,26/12/2011
s11-12,500,9,,2,1,23/10/2011,26/12/2011
s11-12,500,10,,2,2,23/10/2011,26/12/2011
s11-12,500,11,,2,0,23/10/2011,26/12/2011
s11-12,500,12,,2,2,23/10/2011,26/12/2011
s11-12,500,13,,2,2,23/10/2011,26/12/2011
s11-12,500,14,,2,2,23/10/2011,26/12/2011
s11-12,500,15,,2,0,23/10/2011,26/12/2011
s11-12,500,16,,2,2,23/10/2011,26/12/2011
s11-12,500,17,,2,2,23/10/2011,26/12/2011
s11-12,500,18,,2,2,23/10/2011,26/12/2011
s11-12,500,19,,2,1,23/10/2011,26/12/2011
s11-12,500,20,,2,2,23/10/2011,26/12/2011
s11-12,600,1,,2,2,23/10/2011,31/12/2011
s11-12,600,2,,2,2,23/10/2011,31/12/2011
s11-12,600,3,,2,2,23/10/2011,31/12/2011
s11-12,600,4,,2,0,23/10/2011,31/12/2011
s11-12,600,5,,2,0,23/10/2011,31/12/2011
s11-12,600,6,,2,0,23/10/2011,31/12/2011
s11-12,600,7,,1,0,23/10/2011,31/12/2011
s11-12,600,8,,2,0,23/10/2011,31/12/2011
s11-12,600,9,,2,1,23/10/2011,31/12/2011
s11-12,600,10,,2,0,23/10/2011,31/12/2011
s11-12,600,11,,1,0,23/10/2011,31/12/2011
s11-12,600,12,,2,2,23/10/2011,31/12/2011
s11-12,600,13,,2,0,23/10/2011,31/12/2011
s11-12,600,14,,2,2,23/10/2011,31/12/2011
s11-12,600,15,,2,0,23/10/2011,31/12/2011
s11-12,600,16,,2,1,23/10/2011,31/12/2011
s11-12,600,17,,2,0,23/10/2011,31/12/2011
s11-12,600,18,,2,0,23/10/2011,31/12/2011
s11-12,600,19,,2,0,23/10/2011,31/12/2011
s11-12,600,20,,2,0,23/10/2011,31/12/2011
s12-13,200,1,,1,0,17/10/2012,20/12/2012
s12-13,200,2,,2,2,17/10/2012,20/12/2012
s12-13,200,3,,2,1,17/10/2012,20/12/2012
s12-13,200,4,,2,2,17/10/2012,20/12/2012
s12-13,200,5,,2,2,17/10/2012,20/12/2012
s12-13,200,6,,2,0,17/10/2012,20/12/2012
s12-13,200,7,,2,0,17/10/2012,20/12/2012
s12-13,200,8,,2,2,17/10/2012,20/12/2012
s12-13,200,9,,2,2,17/10/2012,20/12/2012
s12-13,200,10,,2,2,17/10/2012,20/12/2012
s12-13,200,11,,2,2,17/10/2012,20/12/2012
s12-13,200,12,,2,2,17/10/2012,20/12/2012
s12-13,200,13,,2,0,17/10/2012,20/12/2012
s12-13,200,14,,2,0,17/10/2012,20/12/2012
s12-13,200,15,,2,0,17/10/2012,20/12/2012
s12-13,200,16,,2,2,17/10/2012,20/12/2012
s12-13,200,17,,2,2,17/10/2012,20/12/2012
s12-13,200,18,,2,2,17/10/2012,20/12/2012
s12-13,200,19,,2,2,17/10/2012,20/12/2012
s12-13,200,20,,2,2,17/10/2012,20/12/2012
s12-13,300,1,,2,2,23/10/1012,20/12/2012
s12-13,300,2,,2,1,23/10/1012,20/12/2012
