"","season","estaca","nido_id","ambiente","huevo","pichon","fecha_puesta","fecha_walkout","ER","colname3","SST","Chla","SSTA","SAM"
"39","s10-11",400,7,NA,1,1,2010-10-28,2011-01-01,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"40","s10-11",400,8,NA,2,0,2010-10-28,2011-01-01,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"41","s10-11",400,9,NA,2,1,2010-10-28,2011-01-01,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"42","s10-11",400,10,NA,2,0,2010-10-28,2011-01-01,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"43","s10-11",400,11,NA,2,2,2010-10-28,2011-01-01,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"44","s10-11",400,12,NA,2,2,2010-10-28,2011-01-01,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"45","s10-11",400,13,NA,2,1,2010-10-28,2011-01-01,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"46","s10-11",400,14,NA,2,2,2010-10-28,2011-01-01,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"47","s10-11",400,15,NA,2,0,2010-10-28,2011-01-01,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"48","s10-11",400,16,NA,2,1,2010-10-28,2011-01-01,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"49","s10-11",400,17,NA,2,1,2010-10-28,2011-01-01,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"50","s10-11",400,20,NA,2,2,2010-10-28,2011-01-01,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"51","s10-11",500,1,NA,2,2,2010-11-04,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"52","s10-11",500,2,NA,2,2,2010-11-04,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"53","s10-11",500,3,NA,2,2,2010-11-04,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"54","s10-11",500,4,NA,2,2,2010-11-04,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"55","s10-11",500,5,NA,2,2,2010-11-04,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"56","s10-11",500,6,NA,2,1,2010-11-04,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"57","s10-11",500,7,NA,1,0,2010-11-04,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"58","s10-11",500,8,NA,2,1,2010-11-04,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"59","s10-11",500,9,NA,2,2,2010-11-04,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
