arroyo;fecha;hora;am_pm;pabs;temp;manejo
16;21/1/2018;09:26:17;AM;740,76;7,381;sin
16;21/1/2018;10:26:17;AM;740,42;7,582;sin
16;21/1/2018;11:26:17;AM;740,09;7,882;sin
16;21/1/2018;12:26:17;PM;739,97;8,382;sin
16;21/1/2018;01:26:17;PM;739,61;8,879;sin
16;21/1/2018;02:26:17;PM;738,98;9,571;sin
16;21/1/2018;03:26:17;PM;739,02;9,373;sin
16;21/1/2018;04:26:17;PM;739,29;9,176;sin
16;21/1/2018;05:26:17;PM;738,88;9,077;sin
16;21/1/2018;06:26:17;PM;739,3;8,879;sin
16;21/1/2018;07:26:17;PM;738,72;8,68;sin
16;21/1/2018;08:26:17;PM;738,74;8,382;sin
16;21/1/2018;09:26:17;PM;738,14;8,082;sin
16;21/1/2018;10:26:17;PM;738,07;7,782;sin
16;21/1/2018;11:26:17;PM;738,26;7,582;sin
16;22/1/2018;12:26:17;AM;738,53;7,381;sin
16;22/1/2018;01:26:17;AM;738,66;7,28;sin
16;22/1/2018;02:26:17;AM;739,02;7,179;sin
16;22/1/2018;03:26:17;AM;739,44;6,978;sin
16;22/1/2018;04:26:17;AM;739,65;6,877;sin
16;22/1/2018;05:26:17;AM;740,23;6,674;sin
16;22/1/2018;06:26:17;AM;740,49;6,471;sin
16;22/1/2018;07:26:17;AM;740,55;6,37;sin
16;22/1/2018;08:26:17;AM;740,47;6,37;sin
16;22/1/2018;09:26:17;AM;740,47;6,37;sin
16;22/1/2018;10:26:17;AM;740,28;6,573;sin
16;22/1/2018;11:26:17;AM;740,21;6,978;sin
16;22/1/2018;12:26:17;PM;740,11;7,582;sin
16;22/1/2018;01:26:17;PM;739,72;8,282;sin
16;22/1/2018;02:26:17;PM;739,69;8,879;sin
16;22/1/2018;03:26:17;PM;739,6;9,176;sin
16;22/1/2018;04:26:17;PM;739,34;9,077;sin
16;22/1/2018;05:26:17;PM;739,51;8,779;sin
16;22/1/2018;06:26:17;PM;739,68;8,481;sin
16;22/1/2018;07:26:17;PM;740,75;8,082;sin
16;22/1/2018;08:26:17;PM;741,08;7,782;sin
16;22/1/2018;09:26:17;PM;741,88;7,582;sin
16;22/1/2018;10:26:17;PM;742,28;7,28;sin
16;22/1/2018;11:26:17;PM;743;7,079;sin
16;23/1/2018;12:26:17;AM;743,18;6,775;sin
16;23/1/2018;01:26:17;AM;743,67;6,573;sin
16;23/1/2018;02:26:17;AM;743,78;6,37;sin
16;23/1/2018;03:26:17;AM;743,59;6,166;sin
16;23/1/2018;04:26:17;AM;743,72;6,064;sin
16;23/1/2018;05:26:17;AM;743,87;6,064;sin
16;23/1/2018;06:26:17;AM;744,2;6,166;sin
16;23/1/2018;07:26:17;AM;744,35;6,166;sin
16;23/1/2018;08:26:17;AM;744,61;6,268;sin
16;23/1/2018;09:26:17;AM;744,56;6,37;sin
16;23/1/2018;10:26:17;AM;744,36;6,573;sin
16;23/1/2018;11:26:17;AM;744,59;6,877;sin
16;23/1/2018;12:26:17;PM;744,86;7,079;sin
16;23/1/2018;01:26:17;PM;745,01;7,079;sin
16;23/1/2018;02:26:17;PM;745,32;7,079;sin
16;23/1/2018;03:26:17;PM;745,48;7,481;sin
16;23/1/2018;04:26:17;PM;745,48;7,481;sin
16;23/1/2018;05:26:17;PM;746,29;7,28;sin
16;23/1/2018;06:26:17;PM;746,6;7,28;sin
16;23/1/2018;07:26:17;PM;746,93;7,079;sin
16;23/1/2018;08:26:17;PM;747,14;6,978;sin
16;23/1/2018;09:26:17;PM;747,74;6,877;sin
16;23/1/2018;10:26:17;PM;747,72;6,775;sin
16;23/1/2018;11:26:17;PM;748,08;6,674;sin
16;24/1/2018;12:26:17;AM;748,07;6,573;sin
16;24/1/2018;01:26:17;AM;747,75;6,573;sin
16;24/1/2018;02:26:17;AM;747,44;6,573;sin
16;24/1/2018;03:26:17;AM;747,44;6,573;sin
16;24/1/2018;04:26:17;AM;747,04;6,471;sin
16;24/1/2018;05:26:17;AM;747,04;6,471;sin
16;24/1/2018;06:26:17;AM;747,04;6,471;sin
